username,judul video,text,tanggal publish
@teleguanget7274,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"berhentilah review hp I-Phone nanti kau di boikot rakyat Indonesia.  habis subscriber mu.  patuhi aturan pemerintah
 kalau begini sama aja lu menginjak injak kebijakan pemerintahan Indonesia.",2025-02-19T17:57:34Z
@teleguanget7274,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"buat apa review hp ini, jauh jauh buang buang uang ke Singapore mending sumbangin ke panti uang nya. rakyat Indonesia setia sama pemerintah nya. katanya jgn beli ya jgn beli gak keras kek kamu bang.",2025-02-19T17:51:59Z
@AnggunNatanael,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,45 juta bisa beli mobil second 😂,2025-02-18T19:38:35Z
@iswantidevidevi453,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Baru bulan kmaren ambil yg 16+ blue marine 256,dri seri IP lainya, ini yg paling menarik,16 nomor keberuntungan😊😊😊😊😊",2025-02-18T12:34:34Z
@AldyPradana17,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,🤔,2025-02-18T08:22:28Z
@novasetiawan2188,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Team beli doang enggk nonton,2025-02-17T13:11:41Z
@intisaridakwah,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Semoga smua penonton bisa beli..amin,2025-02-17T06:03:42Z
@shahasgarasgar2380,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kamera apah😂,2025-02-16T10:10:41Z
@sotoykucing1347,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,pembodohan😂rela jual diri,2025-02-15T17:36:10Z
@DhonySatriyo,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Om klo beli produk iphone amerika yg udah pake e-sim apa bisa dipake diindo nantinya?,2025-02-15T15:03:37Z
@Kangno215,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Iphone dikorea harga murah mntap,2025-02-15T11:58:10Z
@henokhalbert7785,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bang, ini ip 16 pro udh laku apa blm dijual di tokped? Sorry telat info, baru liat kontennya Bang David. Mohon dijawab bang, thank u",2025-02-15T03:21:48Z
@Philepxy,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,cuman nonton gk mau beli 😂,2025-02-14T13:51:14Z
@arielking3543,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,bismillah gift,2025-02-14T13:06:57Z
